wav_filename,wav_filesize,transcript
/data/TEDxSK/cut/815_tedxsk_female_531.wav,106764,ak sa pozrieme na to prečo to tak je 
/data/TEDxSK/cut/815_tedxsk_female_532.wav,80652,tak by som si dovolila tento hoci ťažký 
/data/TEDxSK/cut/815_tedxsk_female_533.wav,129804,ale myslím si že zrozumiteľný schematický obrázok 
/data/TEDxSK/cut/815_tedxsk_female_534.wav,130572,testosterón formuje naše štruktúry dávno predtým než sa narodíme 
/data/TEDxSK/cut/815_tedxsk_female_535.wav,56812,v intrauterinnom živote 
/data/TEDxSK/cut/815_tedxsk_female_536.wav,168524,dosahuje asi v strede gravidity také h hodnoty alebo také vysoké koncentrácie 
/data/TEDxSK/cut/815_tedxsk_female_537.wav,94892,ako je to u pubertálneho chlapca
/data/TEDxSK/cut/815_tedxsk_female_538.wav,83756,táto šípka označuje narodenie 
/data/TEDxSK/cut/815_tedxsk_female_539.wav,49932,a jednotka dvojka trojka 
/data/TEDxSK/cut/815_tedxsk_female_540.wav,49708,označuje trimester
/data/TEDxSK/cut/815_tedxsk_female_541.wav,65612,predpôrodného obdobia 
/data/TEDxSK/cut/815_tedxsk_female_542.wav,114572,načo je taký vysoký testosterón u chlapcov 
/data/TEDxSK/cut/815_tedxsk_female_543.wav,140172,no pretože práve v polovici gravidity dozrievajú mozgové štruktúry 
/data/TEDxSK/cut/815_tedxsk_female_544.wav,134668,a tie dozrievajú pod pôsobením testosterónu inak 
/data/TEDxSK/cut/815_tedxsk_female_545.wav,85836,ako keby tam ten testosterón nebol
/data/TEDxSK/cut/815_tedxsk_female_546.wav,82892,čiže ako keby to bolo u dievčat 
/data/TEDxSK/cut/815_tedxsk_female_547.wav,128844,potom dochádzame k obdobiu ktoré nazývame že bipotenciálne 
/data/TEDxSK/cut/815_tedxsk_female_548.wav,129164,dievčatá a chlapci majú veľmi malé rozdiely v hladinách testosterónu 
/data/TEDxSK/cut/815_tedxsk_female_549.wav,110956,a preto sa aj viac na seba podobajú 
/data/TEDxSK/cut/815_tedxsk_female_550.wav,57836,tento účinok ktorý sa
/data/TEDxSK/cut/815_tedxsk_female_551.wav,127404,vlastne etabluje počas intrauterínneho života alebo 
/data/TEDxSK/cut/815_tedxsk_female_552.wav,79628,maternicové v maternicovom vývine 
/data/TEDxSK/cut/815_tedxsk_female_553.wav,127628,sa nazýva organizačný lebo je trvalý stály 
/data/TEDxSK/cut/815_tedxsk_female_554.wav,84524,a nemožno ho už potom meniť 
/data/TEDxSK/cut/815_tedxsk_female_555.wav,74892,keď vstúpime do puberty
/data/TEDxSK/cut/815_tedxsk_female_556.wav,95212,tieto predorganizované štruktúry čakajú 
/data/TEDxSK/cut/815_tedxsk_female_557.wav,112460,na hormóny ktoré sú buď ženské alebo mužské 
/data/TEDxSK/cut/815_tedxsk_female_558.wav,125068,a tie štruktúry potom aktivujú oblasti mozgu 
/data/TEDxSK/cut/815_tedxsk_female_559.wav,47820,a aktivujú ich tak 
/data/TEDxSK/cut/815_tedxsk_female_560.wav,51948,že v tom plodnom období
/data/TEDxSK/cut/815_tedxsk_female_561.wav,39884,teda vtedy 
/data/TEDxSK/cut/815_tedxsk_female_562.wav,44780,keď sme schopní 
/data/TEDxSK/cut/815_tedxsk_female_563.wav,88204,byť spolutvorcami nových jedincov
/data/TEDxSK/cut/815_tedxsk_female_564.wav,101036,tak sa najviac odlišujeme v týchto had hladinách 
/data/TEDxSK/cut/815_tedxsk_female_565.wav,147980,je najväčší dimorfizmus alebo najväčší rozdiel medzi žema ženami a mužmi 
/data/TEDxSK/cut/815_tedxsk_female_566.wav,58060,v hladinách testosterónu 
/data/TEDxSK/cut/815_tedxsk_female_567.wav,167020,ale aj v tom ako vyzerajú ako sa prejavuje toto na ich fyziognómii 
/data/TEDxSK/cut/815_tedxsk_female_568.wav,157324,ale aj to ako sa to prejavuje na ich správaní a na ich myslení 
/data/TEDxSK/cut/815_tedxsk_female_569.wav,199660,v okolo šesťdesiateho roku veku hladiny hormónu testosterón sa opäť znižujú 
/data/TEDxSK/cut/815_tedxsk_female_570.wav,195308,a zasa sa stávame v podstate viac bipotenciálnymi jedincami 
/data/TEDxSK/cut/815_tedxsk_female_571.wav,73388,toto obdobie je zaujímavé aj tým 
/data/TEDxSK/cut/815_tedxsk_female_572.wav,78956,že hormonálne hladiny
/data/TEDxSK/cut/815_tedxsk_female_573.wav,67308,alebo hladiny testosterónu 
/data/TEDxSK/cut/815_tedxsk_female_574.wav,81804,ktoré kolíšu počas biorytmov 
/data/TEDxSK/cut/815_tedxsk_female_575.wav,80908,môžu ovplyvňovať naše nálady
/data/TEDxSK/cut/815_tedxsk_female_576.wav,169324,naše správanie aj naše myslenie u toho istého jedinca 
/data/TEDxSK/cut/815_tedxsk_female_577.wav,109452,samozrejme že hladiny hormónov nie sú u každého rovnaké 
/data/TEDxSK/cut/815_tedxsk_female_578.wav,80300,v rámci fyziologického rozpätia 
/data/TEDxSK/cut/815_tedxsk_female_579.wav,124300,sú muži ktorí majú nižšie hladiny a sú muži ktorí majú má vyššie hladiny 
/data/TEDxSK/cut/815_tedxsk_female_580.wav,64108,a je to tiež celkom fyziologické 
/data/TEDxSK/cut/815_tedxsk_female_581.wav,295148,toto je teda najdôležitejšie obdobie o ktorom ani nevieme že je a pritom je veľmi dôležité pre náš ďalší život 
/data/TEDxSK/cut/815_tedxsk_female_582.wav,144524,my na lekárskej fakulte sme sa zamýšľali nad tým 
/data/TEDxSK/cut/815_tedxsk_female_583.wav,95564,či muži a ženy 
/data/TEDxSK/cut/815_tedxsk_female_584.wav,95148,môžu mať rôzne schopnosti 
/data/TEDxSK/cut/815_tedxsk_female_585.wav,122316,nie celkovej inteligencie ale v špecifických schopnostiach 
/data/TEDxSK/cut/815_tedxsk_female_586.wav,126124,skúmali sme celkom konkrétne špecifické schopnosti 
/data/TEDxSK/cut/815_tedxsk_female_587.wav,100556,ktoré sa nazývajú že priestorová orientácia 
/data/TEDxSK/cut/815_tedxsk_female_588.wav,77548,alebo vizuopriestorové schopnosti 
/data/TEDxSK/cut/815_tedxsk_female_589.wav,122668,a vy sami môžte riešiť úlohy hore pokiaľ ich budete riešiť 
/data/TEDxSK/cut/815_tedxsk_female_590.wav,96204,tak ja vám poviem čo sme vyskúmali 
/data/TEDxSK/cut/815_tedxsk_female_591.wav,124172,mali sme študentky dievčatá aj chlapcov 
/data/TEDxSK/cut/815_tedxsk_female_592.wav,69260,teda v mladom veku 
/data/TEDxSK/cut/815_tedxsk_female_593.wav,161292,a pokiaľ riešili liešili tieto úlohy tak sme im merali hladinu testosterónu v slinách
/data/TEDxSK/cut/815_tedxsk_female_594.wav,84204,teda chlapci a dievčatá pľuli predtým 
/data/TEDxSK/cut/815_tedxsk_female_595.wav,73420,napľuli predtým než riešili úlohu 
/data/TEDxSK/cut/815_tedxsk_female_596.wav,70252,a po riešení úlohy napľuli zasa 
/data/TEDxSK/cut/815_tedxsk_female_597.wav,93516,a z tej priemernej hladiny sme usúdili 
/data/TEDxSK/cut/815_tedxsk_female_598.wav,177068,aká hladina testosterónu teda bola pokiaľ riešili tieto úlohy a vyhodnocovali sme tie úlohy 
/data/TEDxSK/cut/815_tedxsk_female_599.wav,105580,pozrite sa aké zaujímavé výsledky sme dostali 
/data/TEDxSK/cut/815_tedxsk_female_600.wav,172140,toto je skupina dievčat ktoré mali rôzne hladiny testosterónu nižšie ako chlapci 
/data/TEDxSK/cut/815_tedxsk_female_601.wav,138636,a vidíte že tie dievčatá čím boli vo vyšších testosterónových koncentráciách 
/data/TEDxSK/cut/815_tedxsk_female_602.wav,143756,tým lepšie mentálne rotovali v pred predmety vo svojej mysli 
/data/TEDxSK/cut/815_tedxsk_female_603.wav,25836,naopak 
/data/TEDxSK/cut/815_tedxsk_female_604.wav,69292,chlapci boli takto rozptýlení 
/data/TEDxSK/cut/815_tedxsk_female_605.wav,128492,a čím nižšie hodnoty dosahovali testosterónové 
/data/TEDxSK/cut/815_tedxsk_female_606.wav,117740,tým lepšie riešili úlohy priestorovej orientácie 
/data/TEDxSK/cut/815_tedxsk_female_607.wav,35532,to znamená 
/data/TEDxSK/cut/815_tedxsk_female_608.wav,142188,že existuje určitý určitá optimálna hladina testosterónu 
/data/TEDxSK/cut/815_tedxsk_female_609.wav,98028,a určitý bipotenciálny rámec oboch pohlaví 
/data/TEDxSK/cut/815_tedxsk_female_610.wav,105740,ktoré je uspôsobený na riešenie týchto problémov
/data/TEDxSK/cut/815_tedxsk_female_611.wav,65004,systematickosť 
/data/TEDxSK/cut/815_tedxsk_female_612.wav,64652,a druhý je emocionalita 
/data/TEDxSK/cut/815_tedxsk_female_613.wav,129996,už som povedala na začiatku že muži sú viacej systematickí
/data/TEDxSK/cut/815_tedxsk_female_614.wav,100940,a ženy my sme zasa viac emocionálnejšie
/data/TEDxSK/cut/815_tedxsk_female_615.wav,159148,tá systematickosť sa rieši úlohami intuitívnej fyziky 
/data/TEDxSK/cut/815_tedxsk_female_616.wav,79660,ktorú máte na obrázku 
/data/TEDxSK/cut/815_tedxsk_female_617.wav,137484,myslím že nikto kto konštruuje automobily nebude pochybovať že 
/data/TEDxSK/cut/815_tedxsk_female_618.wav,66444,správna odpoveď je c 
/data/TEDxSK/cut/815_tedxsk_female_619.wav,113996,my dievčatá na to potrebujeme možno dlhší čas 
/data/TEDxSK/cut/815_tedxsk_female_620.wav,121772,testosterón potencuje systematickosť 
/data/TEDxSK/cut/815_tedxsk_female_621.wav,143532,a teda čím viac testosterónu majú aj chlapci alebo muži
/data/TEDxSK/cut/815_tedxsk_female_622.wav,99660,tým sú systematickejší 
/data/TEDxSK/cut/815_tedxsk_female_623.wav,115372,druhou takou takým kognitívnym štýlom 
/data/TEDxSK/cut/815_tedxsk_female_624.wav,94284,je empatia alebo schopnosť empatie 
/data/TEDxSK/cut/815_tedxsk_female_625.wav,173900,na obrázku máte výsek očí človeka ktorý je v nejakej nálade
/data/TEDxSK/cut/815_tedxsk_female_626.wav,76652,alebo niečo s nad niečím rozmýšľa 
/data/TEDxSK/cut/815_tedxsk_female_627.wav,58220,niečo nám chce povedať 
/data/TEDxSK/cut/815_tedxsk_female_628.wav,131084,ak ste tipovali že ten človek má zamyslený pohľad 
/data/TEDxSK/cut/815_tedxsk_female_629.wav,40396,tak máte empatiu
/data/TEDxSK/cut/815_tedxsk_female_630.wav,143340,empatia je vlastne schopnosť vcítiť sa do mysle iného človeka 
/data/TEDxSK/cut/815_tedxsk_female_631.wav,144716,predpovedať alebo dokáz dokázať si všimnúť na ňom 
/data/TEDxSK/cut/815_tedxsk_female_632.wav,115212,jeho vnútorné pocity a tieto vnútorné pocity reflektovať
/data/TEDxSK/cut/815_tedxsk_female_633.wav,86220,testosterón nás oberá o schopnosť
/data/TEDxSK/cut/815_tedxsk_female_634.wav,222412,tejto empatickej empatického vcítenia sa do mysle druhého človeka 
/data/TEDxSK/cut/815_tedxsk_female_635.wav,80972,k rozmýšľaniu nad tým
/data/TEDxSK/cut/815_tedxsk_female_636.wav,112332,prečo choroba ako je autizmus 
/data/TEDxSK/cut/815_tedxsk_female_637.wav,77132,je oveľa častejšia u chlapcov 
/data/TEDxSK/cut/815_tedxsk_female_638.wav,88556,ako u dievčat 
/data/TEDxSK/cut/815_tedxsk_female_639.wav,38444,autizmus je
/data/TEDxSK/cut/815_tedxsk_female_640.wav,65132,ochorenie ktoré sa prejavuje
/data/TEDxSK/cut/815_tedxsk_female_641.wav,93516,prehnanou systematickosťou 
/data/TEDxSK/cut/815_tedxsk_female_642.wav,110220,a takmer nulovou empatiou 
/data/TEDxSK/cut/815_tedxsk_female_643.wav,140844,autistické deti nevedia chápať naše sociálne vzťahy
/data/TEDxSK/cut/815_tedxsk_female_644.wav,95564,nevedia komunikovať v sociálnej sfére 
/data/TEDxSK/cut/815_tedxsk_female_645.wav,195500,ale trvajú na stereotypoch a ich rozmýšľanie je naozaj veľmi veľmi systematické 
/data/TEDxSK/cut/815_tedxsk_female_646.wav,49100,vyslovil hypotézu 
/data/TEDxSK/cut/815_tedxsk_female_647.wav,105068,a tú hypotézu vyslovil na základe zistenia 
/data/TEDxSK/cut/815_tedxsk_female_648.wav,52300,že keď sledovali 
/data/TEDxSK/cut/815_tedxsk_female_649.wav,209388,obsah testosterónu v amniovej tekutine teda v plodovej vode v ktorom sa hýbe bábätko pred narodením 
/data/TEDxSK/cut/815_tedxsk_female_650.wav,286156,tak zistili že čím viac testosterónu babätká omývalo v intrauterinnom štádiu ich vývoja 
/data/TEDxSK/cut/815_tedxsk_female_651.wav,159372,tak tým viac autistických čŕt nie autizmus ale autistických čŕt 
/data/TEDxSK/cut/815_tedxsk_female_652.wav,51468,po narodení mali 
/data/TEDxSK/cut/815_tedxsk_female_653.wav,124972,každý z nás čo tu sedíme má nejakú autistickú črtu 
/data/TEDxSK/cut/815_tedxsk_female_654.wav,144236,a za to nemusíme spadať do diagnózy autistického spektra 
/data/TEDxSK/cut/815_tedxsk_female_655.wav,60748,čiže toto boli zdravé deti 
/data/TEDxSK/cut/815_tedxsk_female_656.wav,105356,na ktorých my sme vlastne náš výskum postavili 
/data/TEDxSK/cut/815_tedxsk_female_657.wav,114380,a postavili sme ho na to akú úlohu môže hrať testosterón 
/data/TEDxSK/cut/815_tedxsk_female_658.wav,100972,v etiológii alebo vo pri vzniku autizmu
/data/TEDxSK/cut/815_tedxsk_female_659.wav,140332,nedá sa detičkám odoberať v maternici krv
/data/TEDxSK/cut/815_tedxsk_female_660.wav,160428,a zisťovať aké hladiny testosterónu ich omíňa o obmývajú pretože 
/data/TEDxSK/cut/815_tedxsk_female_661.wav,68492,veľmi ťažko sa dá tiež odoberať
/data/TEDxSK/cut/815_tedxsk_female_662.wav,90412,plodová voda lebo to tiež nie jebez rizika 
/data/TEDxSK/cut/815_tedxsk_female_663.wav,40332,a tak sme veľmi radi 
/data/TEDxSK/cut/815_tedxsk_female_664.wav,62412,že sa našiel jeden marker 
/data/TEDxSK/cut/815_tedxsk_female_665.wav,146828,a ten marker je pomer džky prstov rúk ako ukážem na ďalšom obrázku 
/data/TEDxSK/cut/815_tedxsk_female_666.wav,121516,kde sme zistili že tento marker
/data/TEDxSK/cut/815_tedxsk_female_667.wav,68268,ktorý hovorí o tom 
/data/TEDxSK/cut/815_tedxsk_female_668.wav,90220,aké vám dlhé prsty narástli 
/data/TEDxSK/cut/815_tedxsk_female_669.wav,89804,a hlavne aký vám narástol štvrtý prst 
/data/TEDxSK/cut/815_tedxsk_female_670.wav,32556,lebo ten 
/data/TEDxSK/cut/815_tedxsk_female_671.wav,76300,dozrieva a rastie práve vtedy 
/data/TEDxSK/cut/815_tedxsk_female_672.wav,129164,keď tie hladiny testosterónu v tom intrauterinnom živote sú najvyššie 
/data/TEDxSK/cut/815_tedxsk_female_673.wav,129196,a čím sú vyššie tým štvrtý prst narastie dlhší 
/data/TEDxSK/cut/815_tedxsk_female_674.wav,177676,čiže my dievčatá máme pomer druhého a štvrtého prsta niekde okolo jednej 
/data/TEDxSK/cut/815_tedxsk_female_675.wav,181036,a chlapci ho majú menší menší menší alebo nižší a nižší podľa toho 
/data/TEDxSK/cut/815_tedxsk_female_676.wav,99340,aké hladiny testosterónu chlapcov omývali 
/data/TEDxSK/cut/815_tedxsk_female_677.wav,103916,čo sme my našli u našich autistických detí 
/data/TEDxSK/cut/815_tedxsk_female_678.wav,159212,bolo to že postnatáne nemali len vyššie hladiny hormónu ktorý sa volá testosterón 
/data/TEDxSK/cut/815_tedxsk_female_679.wav,85132,a ktorý ich oberá o schopnosť empatie 
/data/TEDxSK/cut/815_tedxsk_female_680.wav,106732,a zasa potencuje ich schopnosti systemizácie 
/data/TEDxSK/cut/815_tedxsk_female_681.wav,71756,ale že tieto deti mali naozaj
/data/TEDxSK/cut/815_tedxsk_female_682.wav,76428,aj pomery týchto prstov nižšie 
/data/TEDxSK/cut/815_tedxsk_female_683.wav,36460,čo signalizuje 
/data/TEDxSK/cut/815_tedxsk_female_684.wav,107788,vyššiu dávku testosterónu počas intrauterinného života
/data/TEDxSK/cut/815_tedxsk_female_685.wav,230476,narodili sme sa ako dievčatá a chlapci a ja som tento môj príspevok nechcela orientovať na to aby som vás vyplašila tým 
/data/TEDxSK/cut/815_tedxsk_female_686.wav,193676,že muži a ženy sú nebodaj rozdielni vo svojich intelektových schopnostiach v celkovo 
/data/TEDxSK/cut/815_tedxsk_female_687.wav,101132,inteligencia mužov a žien je absolútne rovnaká
/data/TEDxSK/cut/815_tedxsk_female_688.wav,56076,ale v čom sa líšime 
/data/TEDxSK/cut/815_tedxsk_female_689.wav,103404,to sú špecifické intelektové schopnosti 
/data/TEDxSK/cut/815_tedxsk_female_690.wav,163724,muži sú lepšie v priestorovej orientácii ženy sú lepšie zasa vo verbálnych schopnostiach 
/data/TEDxSK/cut/815_tedxsk_female_691.wav,84332,a ja si myslím že to je dobré
/data/TEDxSK/cut/815_tedxsk_female_692.wav,79308,nemali by sme tu bojovať o nejakú rovnakosť 
/data/TEDxSK/cut/815_tedxsk_female_693.wav,154412,ale mali by sme práve využiť tieto naše komplementárne schopnosti na to 
/data/TEDxSK/cut/815_tedxsk_female_694.wav,72748,aby sme mali lepšie rodiny
/data/TEDxSK/cut/815_tedxsk_female_695.wav,62924,aby sme mali lepšie partnerstvá 
/data/TEDxSK/cut/815_tedxsk_female_696.wav,58924,aby sme mali lepšie tímy 
/data/TEDxSK/cut/815_tedxsk_female_697.wav,136588,aj vo vedeckých pracoviskách na vedeckých pracoviskách ale aj inde 
/data/TEDxSK/cut/815_tedxsk_female_698.wav,78412,a aby sme mohli možno tento svet 
/data/TEDxSK/cut/815_tedxsk_female_699.wav,71436,urobiť plnší a šťastnejší
/data/TEDxSK/cut/816_tedxsk_female_700.wav,114796,ale ja by som vám rada povedala niečo o terapii
/data/TEDxSK/cut/816_tedxsk_female_701.wav,87756,ktorá má taký zvláštny prívlastok
/data/TEDxSK/cut/816_tedxsk_female_702.wav,41708,o samovražednej terapii
/data/TEDxSK/cut/816_tedxsk_female_703.wav,118892,bude to skôr rozprávanie o bunkách a génoch 
/data/TEDxSK/cut/816_tedxsk_female_704.wav,92972,a o tom ako niekedy dokážeme využiť zlé na dobré
/data/TEDxSK/cut/816_tedxsk_female_705.wav,66220,vymyslel veľmi rafinovaný plán
/data/TEDxSK/cut/816_tedxsk_female_706.wav,110188,dal postaviť takéhoto obrovského dreveného koňa
/data/TEDxSK/cut/816_tedxsk_female_707.wav,85164,ktorým by ste zničili nádor podobne 
/data/TEDxSK/cut/816_tedxsk_female_708.wav,289356,vyzbrojené špecifickými proteínmi tak aby dokázali zničiť nádorové bunky a to aj v ťažko dostupných miestach v našom tele ako napríklad v mozgu 
/data/TEDxSK/cut/816_tedxsk_female_709.wav,66860,a čo viac takéto kmeňové bunky
/data/TEDxSK/cut/816_tedxsk_female_710.wav,106028,je možné získať z celkom nepravdepodobného miesta v našom tele
/data/TEDxSK/cut/816_tedxsk_female_711.wav,57868,z tuku
/data/TEDxSK/cut/816_tedxsk_female_712.wav,72876,ale k tomu sa ešte dostaneme 
/data/TEDxSK/cut/816_tedxsk_female_713.wav,109164,rovnako staré alebo teda respektíve mladé ako ja
/data/TEDxSK/cut/816_tedxsk_female_714.wav,251436,najprv sa predpokladalo že ak má dospelý človek nejaké kmeňové bunky tak sú to tie ktoré sa starajú o obnovu krviniek 
/data/TEDxSK/cut/816_tedxsk_female_715.wav,69676,a sú schované v kostnej dreni 
/data/TEDxSK/cut/816_tedxsk_female_716.wav,97004,bolo pomerne odvážne až kacírske 
/data/TEDxSK/cut/816_tedxsk_female_717.wav,73708,ale ukázalo sa že je to tak
/data/TEDxSK/cut/816_tedxsk_female_718.wav,106956,a ešte zaujímavejšie bolo postupne odhaľovať 
/data/TEDxSK/cut/816_tedxsk_female_719.wav,116012,čoho všetkého sú tieto bunky schopné 
/data/TEDxSK/cut/816_tedxsk_female_720.wav,106444,okrem toho že sa starajú o to aby 
/data/TEDxSK/cut/816_tedxsk_female_721.wav,86796,majú ešte jednu veľmi unikátnu schopnosť
/data/TEDxSK/cut/816_tedxsk_female_722.wav,99468,nájsť v tele miesto zápalu či poškodenia 
/data/TEDxSK/cut/816_tedxsk_female_723.wav,135596,a ich jedinou snahou je sa na toto miesto dostať bez ohľadu na to 
/data/TEDxSK/cut/816_tedxsk_female_724.wav,91212,akú veľkú vzdialenosť musia pri tom prekonať 
/data/TEDxSK/cut/816_tedxsk_female_725.wav,136364,slúžia ako taká pojazdná ambulancia v našom tele
/data/TEDxSK/cut/816_tedxsk_female_726.wav,202348,a práve preto vzbudili veľký záujem aj v regeneratívnej medicíne kde preukázali už veľký potenciál
/data/TEDxSK/cut/816_tedxsk_female_727.wav,146572,bolo pozorovanie že nádor sa správa veľmi podobne ako poranenie
/data/TEDxSK/cut/816_tedxsk_female_728.wav,93484,čiže na miesto prichádzajú biele krvinky 
/data/TEDxSK/cut/816_tedxsk_female_729.wav,67852,a dochádza tak ku chronickému zápalu
/data/TEDxSK/cut/816_tedxsk_female_730.wav,106060,v podstate tie isté mechanizmy ktoré slúžia na to 
